episode,reward,sim_reward,epsilon,buffer,loss,steps,collisions,checkpoints,laps,truncated,race_finished,best_score,global_step
57,-60.767149,-60.767727,0.050000,100000,0.011217,2000,0,6,1,1,0,110.649414,114000
58,-76.705782,-76.705772,0.050000,100000,0.011937,2000,0,5,1,1,0,110.649414,116000
59,-59.987853,-59.988327,0.050000,100000,0.012189,2000,0,4,1,1,0,110.649414,118000
60,-68.128643,-68.128975,0.050000,100000,0.011818,2000,0,6,1,1,0,110.649414,120000
61,-2.934153,-2.934303,0.050000,100000,0.013332,2000,0,3,1,1,0,110.649414,122000
62,-149.051754,-149.051285,0.050000,100000,0.011896,2000,0,1,1,1,0,110.649414,124000
63,-86.274803,-86.274719,0.050000,100000,0.011297,2000,1,5,1,1,0,110.649414,126000
64,-92.666395,-92.666107,0.050000,100000,0.010979,2000,2,5,1,1,0,110.649414,128000
65,-79.322504,-79.322510,0.050000,100000,0.010764,2000,0,5,1,1,0,110.649414,130000
66,-70.324523,-70.324875,0.050000,100000,0.010854,2000,1,5,1,1,0,110.649414,132000
67,98.288594,98.288536,0.050000,100000,0.011930,2000,0,12,2,1,0,258.288536,134000
68,-60.595048,-60.595695,0.050000,100000,0.012393,2000,0,6,1,1,0,258.288536,136000
69,-522.964927,-522.960266,0.050000,100000,0.011955,2000,369,5,1,1,0,258.288536,138000
70,-82.770957,-82.771103,0.050000,100000,0.011709,2000,0,5,1,1,0,258.288536,140000
71,-83.662578,-83.662697,0.050000,100000,0.011567,2000,0,5,1,1,0,258.288536,142000
72,-79.345542,-79.345779,0.050000,100000,0.011078,2000,0,5,1,1,0,258.288536,144000
73,21.016441,21.016382,0.050000,100000,0.012100,2000,0,4,1,1,0,258.288536,146000
74,-79.696023,-79.696205,0.050000,100000,0.011542,2000,0,5,1,1,0,258.288536,148000
75,-76.076864,-76.077194,0.050000,100000,0.011831,2000,1,5,1,1,0,258.288536,150000
76,-89.501163,-89.501045,0.050000,100000,0.011110,2000,0,5,1,1,0,258.288536,152000
77,111.006115,111.006081,0.050000,100000,0.011577,2000,0,13,2,1,0,276.006081,154000
78,97.396545,97.396416,0.050000,100000,0.012978,2000,0,12,2,1,0,276.006081,156000
79,-113.981526,-113.981537,0.050000,100000,0.012470,2000,0,3,1,1,0,276.006081,158000
80,-150.133603,-150.133575,0.050000,100000,0.013261,2000,0,1,1,1,0,276.006081,160000
81,-68.259016,-68.259338,0.050000,100000,0.013371,2000,0,5,1,1,0,276.006081,162000
82,-280.098020,-280.095520,0.050000,100000,0.014662,2000,100,1,1,1,0,276.006081,164000
83,-73.314515,-73.314888,0.050000,100000,0.014444,2000,0,5,1,1,0,276.006081,166000
84,-156.956042,-156.956085,0.050000,100000,0.012471,2000,0,2,1,1,0,276.006081,168000
85,-82.201718,-82.201836,0.050000,100000,0.014706,2000,0,5,1,1,0,276.006081,170000
86,16.039125,16.038935,0.050000,100000,0.013794,2000,0,5,1,1,0,276.006081,172000
87,-79.343215,-79.343407,0.050000,100000,0.012502,2000,0,5,1,1,0,276.006081,174000
88,-35.269597,-35.270191,0.050000,100000,0.013336,2000,0,7,1,1,0,276.006081,176000
89,-156.999622,-156.999481,0.050000,100000,0.012682,2000,0,2,1,1,0,276.006081,178000
