episode,reward,sim_reward,epsilon,buffer,loss,steps,collisions,checkpoints,laps,truncated,race_finished,best_score,global_step
65,-122.773866,-122.772621,0.050000,100000,0.025878,2000,1,2,1,1,0,86.247354,130000
66,-2.221673,-2.221764,0.050000,100000,0.025642,2000,0,3,1,1,0,86.247354,132000
67,-23.401303,-23.401394,0.050000,100000,0.023127,2000,0,0,0,1,0,86.247354,134000
68,-4.747917,-4.748034,0.050000,100000,0.024298,2000,0,3,1,1,0,86.247354,136000
69,0.718368,0.718236,0.050000,100000,0.024101,2000,0,3,1,1,0,86.247354,138000
70,-45.212881,-45.212990,0.050000,100000,0.026288,2000,0,2,1,1,0,86.247354,140000
71,53.755278,53.755325,0.050000,100000,0.025182,2000,0,7,1,1,0,138.755325,142000
72,-2.778664,-2.778751,0.050000,100000,0.026143,2000,0,3,1,1,0,138.755325,144000
73,5.656337,5.656173,0.050000,100000,0.024097,2000,0,3,1,1,0,138.755325,146000
74,27.986090,27.986069,0.050000,100000,0.024298,2000,0,5,1,1,0,138.755325,148000
75,27.970518,27.970526,0.050000,100000,0.023257,2000,0,5,1,1,0,138.755325,150000
76,-19.988452,-19.988567,0.050000,100000,0.023408,2000,0,2,1,1,0,138.755325,152000
77,3.988904,3.988860,0.050000,100000,0.022439,2000,0,3,1,1,0,138.755325,154000
78,-25.389420,-25.389732,0.050000,100000,0.023706,2000,0,6,1,1,0,138.755325,156000
79,21.560830,21.560846,0.050000,100000,0.025170,2000,0,3,1,1,0,138.755325,158000
80,4.058031,4.057805,0.050000,100000,0.023517,2000,0,6,1,1,0,138.755325,160000
81,-54.737528,-54.738087,0.050000,100000,0.026531,2000,0,5,1,1,0,138.755325,162000
82,25.232118,25.232126,0.050000,100000,0.026075,2000,0,2,1,1,0,138.755325,164000
83,-137.824269,-137.824188,0.050000,100000,0.024103,2000,0,3,1,1,0,138.755325,166000
84,-2.395601,-2.395612,0.050000,100000,0.024815,2000,0,1,1,1,0,138.755325,168000
85,-139.173113,-139.172256,0.050000,100000,0.023443,2000,1,3,1,1,0,138.755325,170000
86,28.763336,28.763304,0.050000,100000,0.023170,2000,0,5,1,1,0,138.755325,172000
87,19.025626,19.025597,0.050000,100000,0.020116,2000,0,3,1,1,0,138.755325,174000
88,12.285170,12.285131,0.050000,100000,0.020494,2000,0,3,1,1,0,138.755325,176000
89,10.494445,10.494461,0.050000,100000,0.018464,2000,0,4,1,1,0,138.755325,178000
90,15.428890,15.428846,0.050000,100000,0.017636,2000,0,4,1,1,0,138.755325,180000
91,5.893519,5.893416,0.050000,100000,0.017573,2000,0,4,1,1,0,138.755325,182000
92,20.668176,20.668194,0.050000,100000,0.017906,2000,0,3,1,1,0,138.755325,184000
93,-140.674312,-140.673508,0.050000,100000,0.017538,2000,1,3,1,1,0,138.755325,186000
94,-94.295362,-94.295372,0.050000,100000,0.016598,2000,0,4,1,1,0,138.755325,188000
95,25.103925,25.103910,0.050000,100000,0.016207,2000,0,5,1,1,0,138.755325,190000
96,-9.006719,-9.006873,0.050000,100000,0.014602,2000,0,3,1,1,0,138.755325,192000
97,-48.998114,-48.998402,0.050000,100000,0.015728,2000,0,3,1,1,0,138.755325,194000
98,2.182090,2.182016,0.050000,100000,0.015998,2000,0,3,1,1,0,138.755325,196000
99,10.110429,10.110407,0.050000,100000,0.015590,2000,0,4,1,1,0,138.755325,198000
100,-2.431553,-2.431655,0.050000,100000,0.016305,2000,0,3,1,1,0,138.755325,200000
101,15.035474,15.035463,0.050000,100000,0.017452,2000,0,4,1,1,0,138.755325,202000
102,-47.525462,-47.525829,0.050000,100000,0.017772,2000,0,3,1,1,0,138.755325,204000
103,32.946695,32.946655,0.050000,100000,0.019046,2000,0,5,1,1,0,138.755325,206000
104,4.247922,4.247912,0.050000,100000,0.021845,2000,0,3,1,1,0,138.755325,208000
105,-2.365366,-2.365425,0.050000,100000,0.021006,2000,0,3,1,1,0,138.755325,210000
106,0.148836,0.148818,0.050000,100000,0.021846,2000,0,3,1,1,0,138.755325,212000
107,-114.375136,-114.374031,0.050000,100000,0.023550,2000,0,3,1,1,0,138.755325,214000
108,-89.864757,-89.864937,0.050000,100000,0.021553,2000,0,3,1,1,0,138.755325,216000
109,-129.840913,-129.840637,0.050000,100000,0.025054,2000,0,3,1,1,0,138.755325,218000
110,-121.004050,-121.004036,0.050000,100000,0.022675,2000,0,3,1,1,0,138.755325,220000
111,-133.448344,-133.447220,0.050000,100000,0.023460,2000,0,2,1,1,0,138.755325,222000
112,-60.460099,-60.460243,0.050000,100000,0.025069,2000,0,4,1,1,0,138.755325,224000
113,-63.935756,-63.936119,0.050000,100000,0.026966,2000,0,1,1,1,0,138.755325,226000
114,4.261310,4.261295,0.050000,100000,0.028566,2000,0,3,1,1,0,138.755325,228000
115,-81.713897,-81.714119,0.050000,100000,0.030300,2000,0,1,1,1,0,138.755325,230000
116,-165.853347,-165.853836,0.050000,100000,0.030432,2000,0,0,0,1,0,138.755325,232000
117,-33.275770,-33.275887,0.050000,100000,0.028240,2000,0,2,1,1,0,138.755325,234000
118,-117.893115,-117.893204,0.050000,100000,0.027994,2000,0,0,0,1,0,138.755325,236000
119,-162.177503,-162.176117,0.050000,100000,0.029022,2000,0,0,0,1,0,138.755325,238000
120,-36.943771,-36.943901,0.050000,100000,0.032697,2000,0,0,0,1,0,138.755325,240000
121,-133.509396,-133.507980,0.050000,100000,0.034114,2000,0,0,0,1,0,138.755325,242000
122,-97.710762,-97.710686,0.050000,100000,0.033055,2000,0,0,0,1,0,138.755325,244000
123,-31.603809,-31.603983,0.050000,100000,0.032155,2000,0,1,1,1,0,138.755325,246000
124,-26.361801,-26.361904,0.050000,100000,0.033160,2000,0,0,0,1,0,138.755325,248000
125,-95.412738,-95.412155,0.050000,100000,0.032483,2000,0,0,0,1,0,138.755325,250000
